corpus	file	tool	original	compressed	bpb	compress_s	compress_rss	decompress_s	decompress_rss
silesia	dickens	nexcomp	10192446	2344212	1.8400	38.081	456134656	1.733	71454720
silesia	mozilla	nexcomp	51220480	14255339	2.2265	98.300	1165033472	0.860	42074112
silesia	mr	nexcomp	9970564	1991857	1.5982	28.704	488402944	11.848	115777536
silesia	nci	nexcomp	33553445	1441683	0.3437	56.599	1046867968	3.535	159166464
silesia	ooffice	nexcomp	6152192	2224547	2.8927	35.460	510234624	0.309	15998976
silesia	osdb	nexcomp	10085684	2680418	2.1261	36.531	467746816	16.519	116555776
silesia	reymont	nexcomp	6627202	1024878	1.2372	33.419	322498560	1.520	49172480
silesia	samba	nexcomp	21606400	3999504	1.4809	27.682	1019977728	1.439	52637696
silesia	sao	nexcomp	7251944	4366397	4.8168	19.172	482308096	15.942	81244160
silesia	webster	nexcomp	41458703	7233617	1.3958	86.387	1101774848	3.944	164859904
silesia	x-ray	nexcomp	8474240	3680912	3.4749	30.173	497049600	14.462	86605824
silesia	xml	nexcomp	5345280	386699	0.5788	15.370	262574080	1.288	35356672
silesia	total	nexcomp	211938580	45630063	1.7224	505.878	1165033472	73.399	0
enwik8	enwik8	nexcomp	100000000	24485454	1.9588	220.019	1295065088	8.113	182386688
enwik8	total	nexcomp	100000000	24485454	1.9588	220.019	1295065088	8.113	0
calgary	bib	nexcomp	111261	26521	1.9069	0.434	52367360	0.080	2187264
calgary	book1	nexcomp	768771	211441	2.2003	4.215	85176320	0.300	7073792
calgary	book2	nexcomp	610856	145713	1.9083	2.879	72372224	0.246	5926912
calgary	geo	nexcomp	102400	47983	3.7487	0.365	49979392	0.345	6279168
calgary	news	nexcomp	377109	112067	2.3774	1.488	75792384	0.165	4268032
calgary	obj1	nexcomp	21504	9590	3.5677	0.105	41275392	0.052	1388544
calgary	obj2	nexcomp	246814	63816	2.0685	0.809	58986496	0.062	1658880
calgary	paper1	nexcomp	53161	15867	2.3878	0.215	46100480	0.081	7675904
calgary	paper2	nexcomp	82199	24083	2.3439	0.324	46964736	0.072	2015232
calgary	pic	nexcomp	513216	31983	0.4986	1.703	78123008	0.993	19243008
calgary	progc	nexcomp	39611	12084	2.4405	0.161	44679168	0.073	7458816
calgary	progl	nexcomp	71646	15116	1.6879	0.261	46592000	0.051	1458176
calgary	progp	nexcomp	49379	10477	1.6974	0.169	42999808	0.050	1413120
calgary	trans	nexcomp	93695	16966	1.4486	0.304	42135552	0.050	1499136
calgary	total	nexcomp	3141622	743707	1.8938	13.432	85176320	2.620	0
canterbury	alice29.txt	nexcomp	152089	40544	2.1326	0.603	53751808	0.090	2584576
canterbury	asyoulik.txt	nexcomp	125179	37486	2.3957	0.475	53055488	0.082	2359296
canterbury	cp.html	nexcomp	24603	7160	2.3282	0.125	40878080	0.063	4538368
canterbury	fields.c	nexcomp	11150	3022	2.1683	0.093	40108032	0.053	2904064
canterbury	grammar.lsp	nexcomp	3721	1189	2.5563	0.082	39256064	0.051	2129920
canterbury	kennedy.xls	nexcomp	1029744	39182	0.3044	2.761	112611328	2.500	36540416
canterbury	lcet10.txt	nexcomp	426754	99582	1.8668	1.907	66805760	0.169	4571136
canterbury	plrabn12.txt	nexcomp	481861	134699	2.2363	2.325	72355840	0.191	4984832
canterbury	ptt5	nexcomp	513216	31983	0.4986	1.623	78159872	0.955	19267584
canterbury	sum	nexcomp	38240	9904	2.0720	0.196	83410944	0.049	1425408
canterbury	xargs.1	nexcomp	4227	1646	3.1152	0.079	39309312	0.052	2199552
canterbury	total	nexcomp	2810784	406397	1.1567	10.269	112611328	4.255	0
